content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,is_declining_label,model_prob,priority_score,reason_code,action_label
content_7e3d9c85959b,client_4e07408562,70.0,0.75,HIGH,0.28,keyword article,transactional,1420.0,8970.0,,gpt-4o-mini,2576,1,6,5,5,0,0,0,88,5,581,1,4,1007,0,1,326,181-365,5,104,91-180,1000-2000,8000-15000,0.04,35.0,0.0,0.0,0.0,moderate,page_3_5,down,-42.3,1,1.0,100.0,general_monitor,monitor
content_9e6c26757e7b,client_4e07408562,30.0,0.01,LOW,0.0,keyword article,commercial,,,,gpt-4o-mini,1135,0,1,1,1,0,0,0,77,1,80,0,1,277,0,0,421,365+,6,104,91-180,,,0.0,2.9,0.0,0.0,0.0,moderate,top_3,down,-71.1,1,1.0,100.0,ctr_cliff_candidate,optimize_snippet
content_24d8b73697f6,client_4e07408562,10.0,0.77,HIGH,0.73,keyword article,commercial,1495.0,9852.0,,gpt-4o-mini,1058,0,2,2,2,0,0,0,85,2,110,0,1,364,0,1,300,181-365,5,104,91-180,1000-2000,8000-15000,0.0,40.8,0.0,0.0,0.0,moderate,page_3_5,down,-69.8,1,1.0,100.0,general_monitor,monitor
content_311f7c91e190,client_8527a891e2,40.0,0.07,LOW,0.03,keyword article,informational,3415.0,19992.0,,gpt-4o-mini,418,0,8,7,7,0,0,0,53,7,145,0,4,126,0,0,310,181-365,5,104,91-180,2000-3500,15000-25000,0.0,7.4,0.0,0.0,0.0,moderate,page_1,stable,15.1,0,1.0,100.0,ctr_cliff_candidate,optimize_snippet
content_2fa6a97a3c70,client_4e07408562,40.0,1.0,HIGH,0.84,keyword article,commercial,1543.0,9760.0,,gpt-4o-mini,459,0,3,3,3,0,0,0,80,3,59,0,2,96,0,1,348,181-365,5,104,91-180,1000-2000,8000-15000,0.0,4.7,0.0,0.0,0.0,moderate,page_1,down,-38.5,1,1.0,100.0,ctr_cliff_candidate,optimize_snippet
content_d85f062b576f,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,informational,1641.0,10518.0,,gpt-4o-mini,2258,3,7,7,7,0,0,0,88,7,297,0,3,684,2,4,230,181-365,5,104,91-180,1000-2000,8000-15000,0.13,32.2,0.0,0.0,0.0,moderate,page_3_5,down,-56.6,1,1.0,100.0,general_monitor,monitor
content_a138ab3bd14d,client_4e07408562,1000.0,0.0,LOW,4.86,keyword article,informational,,,,gpt-4o-mini,200,0,1,1,1,0,0,0,52,1,10,0,1,27,0,0,487,365+,6,104,91-180,,,0.0,1.9,0.0,0.0,0.0,low,top_3,down,-63.0,1,1.0,100.0,ctr_cliff_candidate,optimize_snippet
content_9e4a65fb4867,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,informational,1580.0,10349.0,,gpt-4o-mini,478,0,2,2,2,0,0,0,81,2,111,0,0,125,0,1,327,181-365,5,104,91-180,1000-2000,8000-15000,0.0,5.5,0.0,0.0,0.0,moderate,page_1,stable,-11.2,0,1.0,100.0,ctr_cliff_candidate,optimize_snippet
content_05faa240bcc1,client_4e07408562,30.0,0.18,LOW,0.0,keyword article,informational,2796.0,17463.0,,gemini-3-flash-preview,1834,2,5,2,2,0,0,0,88,2,421,1,1,715,1,1,300,181-365,5,14,0-30,2000-3500,15000-25000,0.11,25.0,0.0,0.0,0.0,moderate,page_3_5,down,-41.1,1,0.99,99.0,deep_rank_decay,rearchitect_links
content_6383ca5adafb,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,commercial,2796.0,18088.0,,gemini-3-flash-preview,1938,0,2,2,2,0,0,1,88,2,697,0,1,491,0,1,300,181-365,5,14,0-30,2000-3500,15000-25000,0.0,27.9,0.0,50.0,0.0,moderate,page_3_5,up,42.0,0,0.99,99.0,deep_rank_decay,rearchitect_links
